Title,Price,Link,Image Link,Sold Date
2023 Womens World Cup | Emilie Bosshard Haavi Norway | RC Silver!,"103,140.00 VND",https://www.ebay.com/itm/297089930369,https://i.ebayimg.com/images/g/WGMAAOSwxGdnynpa/s-l500.jpg,"Sold  Apr 6, 2025"
2023 Womens World Cup | Emilie Bosshard Haavi Norway | RC Silver!,"103,140.00 VND",https://www.ebay.com/itm/297089930369,https://i.ebayimg.com/images/g/WGMAAOSwxGdnynpa/s-l140.jpg,"Sold  Apr 6, 2025"
